title,description,image,size,price
product1,U.S. Polo Assn. Men Brown Genuine Leather Two Fold Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1943420/2017/6/16/11497601313264-US-Polo-Assn-Men-Brown-Solid-Two-Fold-Wallet-6751497601313075-1.jpg",Height: 11.5 cm,159.42
product1,Baggit Men Black Solid Two Fold Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/4608404/2018/4/23/11524469348714-Baggit-Men-Wallets-1811524469348556-1.jpg",Height:,97.44
product1,HRX by Hrithik Roshan Men Grey Solid Baseball Cap (= product2),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2178513/2018/2/2/11517574696233-HRX-by-Hrithik-Roshan-Men-Grey-Solid-Baseball-Cap (= product2)-7051517574696177-1.jpg",,31.79
product1,Puma Unisex Grey Style Military Solid Baseball Cap (= product2),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6699035/2018/6/11/a370ba68-a879-4fac-9bc1-21dd3b42e2121528708327523-na-9861528708327345-1.jpg",,117.11
product1,FabSeasons Beige Solid Scarf,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2439658/2018/1/31/11517381404259-NA-531517381404122-1.jpg",Length:0.9 m,97.44
product1,Ed Hardy Men Black Embellished Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2238752/2017/12/5/11512452112767-Ed-Hardy-Men-Belt (= product1)s-7491512452112747-1.jpg",Width: 3.7 cm,56.67
product1,Roadster Men Tan Brown Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2975974/2018/7/25/39e5f09a-5106-4ce2-94f9-ddad9d6050ab1532515725698-Roadster-Men-Belt (= product1)s-6791532515725619-1.jpg",Width: 4 cm,35.84
product1,Peora Silver-Toned Rhodium-Plated Stone-Studded Couple Ring Set,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/3006095/2018/4/5/11522923699621-Peora-Silver-Toned-Rhodium-Plated-Stone-Studded-Couple-Ring-Set-9841522923699567-1.jpg",,35.84
product1,Royal Enfield Unisex White Urban Trooper Helmet RRGHEH000063,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2242802/2018/4/3/11522760174729-Royal-Enfield-Unisex-Helmets-6101522760174636-1.jpg",,35.84
product1,BuckleUp Men Black Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1734718/2017/1/23/11485161135326-BuckleUp-Men-Black-Leather-Belt (= product1)-3971485161135227-1.jpg",Width: 3.5 cm,159.42
product1,HRX by Hrithik Roshan Men Navy & Red Cap (= product2),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1814863/2017/6/2/11496388606257-HRX-by-Hrithik-Roshan-Men-Navy--Red-Cap (= product2)-9881496388605986-1.jpg",,524.96
product1,ADIDAS Originals Unisex Blue Embroidered Baseball Cap (= product2),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7819471/2018/12/17/38318038-7693-47c4-b073-aef22ce963121545034122765-Adidas-Originals-Unisex-Cap (= product2)s-2741545034120584-1.jpg",,263.33
product1,Hidesign Men Black Textured Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8091593/2018/12/18/65b1f095-3ece-4a54-a8c7-c29275b0574c1545125445089-Hidesign-Men-Belt (= product1)s-4701545125444630-1.jpg",Width: 3.5 cm,117.11
product1,Tossido Men Red Bow Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/images/style/properties/Tossido-Unisex-Ties_163a1aca0aa37ccbf371abbe7dc0a26a_images.jpg",,263.33
product1,CHRISTOPOLO Men Black & Brown Textured Reversible Genuine Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2018/10/31/2728d40d-249b-4347-862e-0c2b44de97891540930393380-1.jpg",Width: 3.5 cm,159.42
product1,SHINGORA Men Blue Printed Woollen Muffler,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7073504/2018/8/1/cff45042-c007-430c-b857-fb7495670ab61533110523882-NA-4651533110523744-1.jpg",,364.69
product1,CHRISTOPOLO Men Tan Brown Solid Leather Two Fold Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2018/12/1/65ad15a2-245b-43af-b510-94eeeaf1918f1543615746215-1.jpg",Height: 9 cm��,117.11
product1,Blacksmith Silver-Toned Solid Skinny Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7379486/2018/9/15/c728de99-f470-4f3c-8590-c837e6bc9c581536992198582-Blacksmith-Slim-Silver-Tie-for-Men-3641536992198473-1.jpg",Width: 5 cm,524.96
product1,Pacific Gold Brown Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/images/style/properties/Pacific-Gold-Brown-Leather-Belt (= product1)_4e79022da96fbef0d5822940759c6f35_images.jpg",,31.79
product1,ZIDO Grey Solid Bow Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2446675/2018/2/2/11517549372346-NA-8981517549372256-1.jpg","Size: 13 cm x 6 cm,��",159.42
product1,Peter England Men Reversible Black & Brown Solid Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6631877/2018/7/10/25a7823e-264e-4730-ad60-7c4222b815bb1531215097795-Peter-England-Men-Belt (= product1)s-441531215097334-1.jpg",Width: 35 mm,31.79
product1,The Tie Hub Maroon Drums Printed Skinny Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6676769/2018/6/7/25dd0431-ed6d-4010-b159-c1cf6bfd44a11528368345215-Drums-Print-100-Silk-Maroon-Necktie-511528368344096-1.jpg",,159.42
